"","ID","EC50","group","fungicide"
"94","12B",1.1721547349801,"Baseline","Tetraconazole"
"95","20",0.984637264658999,"Baseline","Tetraconazole"
"96","21",0.334749426348861,"Baseline","Tetraconazole"
"97","318",1.16663292152696,"Farmer fields","Tetraconazole"
"98","413",0.92182897582971,"Farmer fields","Tetraconazole"
"99","419",1.39238724235606,"Farmer fields","Tetraconazole"
"100","449",1.07420022484882,"Baseline","Tetraconazole"
"101","461",1.57707875056769,"Baseline","Tetraconazole"
"102","467",0.357293516951523,"Baseline","Tetraconazole"
"103","475",1.24189784492354,"Baseline","Tetraconazole"
"104","558",0.376843332959325,"Baseline","Tetraconazole"
"105","564",1.03518799310481,"Baseline","Tetraconazole"
"106","568",1.20928041290018,"Baseline","Tetraconazole"
"107","581",1.05273899121788,"Baseline","Tetraconazole"
"108","62-02",1.00826930951252,"Farmer fields","Tetraconazole"
"109","62-03",1.25627849087927,"Farmer fields","Tetraconazole"
"110","62-04",1.01864475119917,"Farmer fields","Tetraconazole"
"111","645",1.22568864669721,"Baseline","Tetraconazole"
"112","667",0.3832824264574,"Baseline","Tetraconazole"
"113","74SS1",1.0321268026488,"Baseline","Tetraconazole"
"114","78-01",1.02018080196775,"Farmer fields","Tetraconazole"
"115","78-02",0.966340035628796,"Farmer fields","Tetraconazole"
"116","78-05",1.2826433644109,"Farmer fields","Tetraconazole"
"117","8",1.04980073015749,"Baseline","Tetraconazole"
"118","800",0.956374942798708,"Baseline","Tetraconazole"
"119","87",1.19336134146373,"Baseline","Tetraconazole"
"120","H-01",1.03902001992856,"Farmer fields","Tetraconazole"
"121","H-03",1.0720534957576,"Farmer fields","Tetraconazole"
"122","H-04",1.02786806943828,"Farmer fields","Tetraconazole"
"123","I-20",1.46167428138271,"Farmer fields","Tetraconazole"
"124","S-01",1.32962900310818,"Farmer fields","Tetraconazole"
"125","W212",1.17462861676359,"Farmer fields","Tetraconazole"
