ID,repeats,experimental_replicate,TM-ecuatorial,TM-polar,control-ecuatorial,control-polar
795,1,1,0,0,54.23,56.8
795,2,1,0,0,54.27,57.86
795,3,1,0,0,55.92,55.51
796,1,1,0,0,60.2,61.39
796,2,1,0,0,59.3,60.41
796,3,1,0,0,59.37,61.24
797,1,1,0,0,62.51,62.51
797,2,1,0,0,62.8,63.27
797,3,1,0,0,61.72,64.49
810,1,1,0,0,54.99,53.73
810,2,1,0,0,51.89,50.47
810,3,1,0,0,56.72,53.24
815,1,1,0,0,58.99,60.15
815,2,1,0,0,59.72,60.7
815,3,1,0,0,59.55,59.47
816,1,1,0,0,61.05,62.36
816,2,1,0,0,66.9,65.76
816,3,1,0,0,61.91,61.19
819,1,1,0,0,59.87,61.1
819,2,1,0,0,58.9,57.26
819,3,1,0,0,59.8,63.2
863,1,1,0,0,58.83,59.03
863,2,1,0,0,57.61,56.63
863,3,1,0,0,59.59,59.06
864,1,1,0,0,61.28,58.57
864,2,1,0,0,58.81,59.07
864,3,1,0,0,55.87,56.7
865,1,1,0,0,54.74,56.56
865,2,1,0,0,54.87,54.18
865,3,1,0,0,56.4,57.75
866,1,1,,,,
866,2,1,,,,
866,3,1,,,,
868,1,1,0,0,57.03,54.06
868,2,1,0,0,54.65,57.09
868,3,1,0,0,53.45,56.77
869,1,1,,,,
869,2,1,,,,
869,3,1,,,,
872,1,1,,,,
872,2,1,,,,
872,3,1,,,,
873,1,1,,,,
873,2,1,,,,
873,3,1,,,,
874,1,1,,,,
874,2,1,,,,
874,3,1,,,,
875,1,1,,,,
875,2,1,,,,
875,3,1,,,,
876,1,1,,,,
876,2,1,,,,
876,3,1,,,,
879,1,1,,,,
879,2,1,,,,
879,3,1,,,,
880,1,1,,,,
880,2,1,,,,
880,3,1,,,,
881,1,1,,,,
881,2,1,,,,
881,3,1,,,,
882,1,1,,,,
882,2,1,,,,
882,3,1,,,,
883,1,1,,,,
883,2,1,,,,
883,3,1,,,,
886,1,1,,,,
886,2,1,,,,
886,3,1,,,,
887,1,1,,,,
887,2,1,,,,
887,3,1,,,,
888,1,1,,,,
888,2,1,,,,
888,3,1,,,,
889,1,1,,,,
889,2,1,,,,
889,3,1,,,,
890,1,1,,,,
890,2,1,,,,
890,3,1,,,,
893,1,1,,,,
893,2,1,,,,
893,3,1,,,,
894,1,1,,,,
894,2,1,,,,
894,3,1,,,,
895,1,1,,,,
895,2,1,,,,
895,3,1,,,,
898,1,1,,,,
898,2,1,,,,
898,3,1,,,,
899,1,1,,,,
899,2,1,,,,
899,3,1,,,,
900,1,1,,,,
900,2,1,,,,
900,3,1,,,,
903,1,1,,,,
903,2,1,,,,
903,3,1,,,,
904,1,1,,,,
904,2,1,,,,
904,3,1,,,,
907,1,1,,,,
907,2,1,,,,
907,3,1,,,,
910,1,1,,,,
910,2,1,,,,
910,3,1,,,,
461,1,2,0,0,48.71,51.62
461,2,2,0,0,50.86,53.95
461,3,2,0,0,48.05,50.89
461,1,2,,,,
461,2,2,,,,
461,3,2,,,,
461,1,2,,,,
461,2,2,,,,
461,3,2,,,,
461,1,2,,,,
461,2,2,,,,
461,3,2,,,,
461,1,2,,,,
461,2,2,,,,
461,3,2,,,,
700,1,2,0,0,53.62,52.84
700,2,2,0,0,54.21,52.32
700,3,2,0,0,47.46,52.35
701,1,2,0,0,58.56,58.42
701,2,2,0,0,62.75,57.39
701,3,2,0,0,58.52,57.93
702,1,2,0,0,56.62,56.96
702,2,2,0,0,62.53,61.51
702,3,2,0,0,61.54,63.18
703,1,2,0,0,60.33,60.04
703,2,2,0,0,,
703,3,2,0,0,,
704,1,2,0,0,58.3,56.81
704,2,2,0,0,58.2,57.01
704,3,2,0,0,61.04,60.14
705,1,2,0,0,59.38,56.64
705,2,2,0,0,56.4,56.62
705,3,2,0,0,58.7,59.6
706,1,2,0,0,59.22,60.73
706,2,2,0,0,57.98,61.82
706,3,2,0,0,59.6,62.1
707,1,2,0,0,66.35,69.48
707,2,2,0,0,63.89,64.28
707,3,2,0,0,64.65,63.34
708,1,2,0,0,60.82,62.19
708,2,2,0,0,62.95,63.75
708,3,2,0,0,62.89,61.1
709,1,2,0,0,62.15,65.41
709,2,2,0,0,64.76,63.51
709,3,2,0,0,64.52,64.68
713,1,2,0,0,64.68,66.97
713,2,2,0,0,63.95,67.01
713,3,2,0,0,63.73,66.13
714,1,2,0,0,62.74,63.22
714,2,2,0,0,62.95,59.82
714,3,2,0,0,62.43,64.2
715,1,2,0,0,58.33,61.63
715,2,2,0,0,59.47,62.25
715,3,2,0,0,59.19,60.92
716,1,2,0,0,62.6,62.08
716,2,2,0,0,63.1,63.08
716,3,2,0,0,63.29,61.09
717,1,2,0,0,60.59,62.46
717,2,2,0,0,60.14,61.58
717,3,2,0,0,61.21,60.77
718,1,2,0,0,61.66,61.7
718,2,2,0,0,62.85,63.51
718,3,2,0,0,62.78,65.65
719,1,2,0,0,57.66,58.43
719,2,2,0,0,59.19,59.92
719,3,2,0,0,60.91,62.7
720,1,2,0,0,62.13,62.12
720,2,2,0,0,64.93,64.5
720,3,2,0,0,64.08,63.55
721,1,2,0,0,67.1,60.93
721,2,2,0,0,66.66,63.64
721,3,2,0,0,64.72,64.97
726,1,2,0,0,60.5,58.57
726,2,2,0,0,60.04,59.09
726,3,2,0,0,61.15,59.58
727,1,2,0,0,61.93,59.31
727,2,2,0,0,55.5,58.79
727,3,2,0,0,57.83,58.44
728,1,2,0,0,63.49,61.46
728,2,2,0,0,62.93,62.08
728,3,2,0,0,62.66,61.87
729,1,2,0,0,60.71,62.53
729,2,2,0,0,58.68,62.57
729,3,2,0,0,60.18,61.78
730,1,2,0,0,60.74,62.07
730,2,2,0,0,62.41,63.86
730,3,2,0,0,60.93,62.25
733,1,2,0,0,61.2,62.84
733,2,2,0,0,61.23,62.69
733,3,2,0,0,59.32,62.42
734,1,2,0,0,58.41,58.7
734,2,2,0,0,60.12,54.89
734,3,2,0,0,53.58,53.84
735,1,2,0,0,61.51,59.25
735,2,2,0,0,63.09,64.1
735,3,2,0,0,60.09,60.86
736,1,2,0,0,62.96,63.76
736,2,2,0,0,64.05,63.89
736,3,2,0,0,65.39,63.87
737,1,2,0,0,62.73,61.14
737,2,2,0,0,63.02,61.19
737,3,2,0,0,62.26,60.49
740,1,2,0,0,58.42,58.03
740,2,2,0,0,58.88,58.3
740,3,2,0,0,55.59,57.9
741,1,2,0,0,59.4,58.9
741,2,2,0,0,60.59,58.7
741,3,2,0,0,58.22,59.15
743,1,2,0,0,56.73,58.74
743,2,2,0,0,57.78,59.53
743,3,2,0,0,58.88,59.59
744,1,2,0,0,62.9,62.82
744,2,2,0,0,61.35,61.35
744,3,2,0,0,60.91,61.29
747,1,2,0,0,54.52,56.38
747,2,2,0,0,54.84,55.01
747,3,2,0,0,55.73,55.89
748,1,2,0,0,64.58,63.29
748,2,2,0,0,60.76,62.55
748,3,2,0,0,62.09,63.93
749,1,2,,,,
749,2,2,,,,
749,3,2,,,,
750,1,2,0,0,61.02,58.46
750,2,2,0,0,56.84,52.27
750,3,2,0,0,58.19,56.42
752,1,2,0,0,59.63,60.95
752,2,2,0,0,59.63,60.31
752,3,2,0,0,57.98,61.18
753,1,2,0,0,,
753,2,2,0,0,,
753,3,2,0,0,,
754,1,2,0,0,55.43,57.06
754,2,2,0,0,55.27,57.66
754,3,2,0,0,55.22,57.05
758,1,2,0,0,62.55,63.85
758,2,2,0,0,61.28,64.23
758,3,2,0,0,60.51,60.5
759,1,2,0,0,58.56,57.25
759,2,2,0,0,59.93,61.33
759,3,2,0,0,59.12,58.57
760,1,2,0,0,64.28,60.81
760,2,2,0,0,61.37,59.86
760,3,2,0,0,63.05,61.41
762,1,2,0,0,57.13,58.15
762,2,2,0,0,55.83,57.48
762,3,2,0,0,57.5,56.79
763,1,2,,,,
763,2,2,,,,
763,3,2,,,,
766,1,2,,,,
766,2,2,,,,
766,3,2,,,,
767,1,2,0,0,55.18,59.41
767,2,2,0,0,57.52,58.23
767,3,2,0,0,56.95,56.97
768,1,2,0,0,59.28,57.69
768,2,2,0,0,56.83,54.74
768,3,2,0,0,62.27,62.6
769,1,2,0,0,57.37,57.12
769,2,2,0,0,53.57,56.65
769,3,2,0,0,56.49,54.4
770,1,2,0,0,57.63,61.11
770,2,2,0,0,60.91,61.93
770,3,2,0,0,62.69,63.25
788,1,2,0,0,55.55,57.87
788,2,2,0,0,49.97,52.3
788,3,2,0,0,54.68,53.83
789,1,2,0,0,58.42,57.72
789,2,2,0,0,56.91,57.84
789,3,2,0,0,57.91,62.08
790,1,2,0,0,59.75,59.27
790,2,2,0,0,57.33,58.83
790,3,2,0,0,57.93,60.67
791,1,2,0,0,54.05,55.42
791,2,2,0,0,61.5,59.83
791,3,2,0,0,56.16,60.18
792,1,2,0,0,60.91,60.3
792,2,2,0,0,57.21,59.98
