ID,repeats,experimental_replicate,tetraconazole-ecuatorial,tetraconazole-polar,control-ecuatorial,control-polar
766,1,1,21.97,17.87,54.59,49.668
766,2,1,22.35,19.38,51.81,52.79
766,3,1,20.47,18.71,51.29,50.49
767,1,1,20.28,18.72,38.65,37.43
767,2,1,17.6,17.35,43.74,43.54
767,3,1,19.72,20.41,42.46,40.39
768,1,1,27.6,24.82,66.63,68.27
768,2,1,26.11,27.08,69.38,65.89
768,3,1,24.4,23.42,65.16,63.18
769,1,1,0,0,57.48,62.5
769,2,1,0,0,59.83,59.65
769,3,1,0,0,63.42,61.94
770,1,1,24.98,26,42.58,44.96
770,2,1,24.72,25.6,37.15,32.55
770,3,1,25,22.13,41.32,42.62
788,1,1,19.32,20.76,44.72,44.8
788,2,1,16.46,18.33,40.92,45.79
788,3,1,20.16,18.41,43.87,43.32
789,1,1,28.88,27.85,62.52,62.41
789,2,1,27.33,27.58,64.03,61.91
789,3,1,24.96,26.14,64.7,61.01
790,1,1,25.41,25.94,39.96,40.74
790,2,1,24.92,25.63,40.67,40.74
790,3,1,25.24,24.64,39.1,41.62
791,1,1,26.57,27.02,62.39,60.14
791,2,1,23.84,24.8,61.43,67.13
791,3,1,25.46,24.23,57.5,62.31
792,1,1,20.95,21.34,63.81,60.36
792,2,1,21.65,21.01,62.26,63.25
792,3,1,22.14,23.62,62.16,59.99
793,1,1,23.55,24.79,57.87,58.66
793,2,1,23.16,24.08,59.49,61.29
793,3,1,23.34,21.39,60.23,60.34
794,1,1,26.44,24.52,62.64,62.83
794,2,1,25.51,25.15,57.19,61.39
794,3,1,25.92,25.17,59.29,57.67
795,1,1,21,22.15,54.55,56.04
795,2,1,18.48,20.33,56.15,56
795,3,1,20.01,20.55,54.21,55.32
796,1,1,25.47,26.59,59.09,64.04
796,2,1,27.6,27.93,60.42,59.59
796,3,1,29.65,29.88,61.74,64.01
797,1,1,27.05,26.21,53.72,60.6
797,2,1,25.02,27.99,50.41,58.08
797,3,1,26.17,27.53,51.99,57.55
810,1,1,23.49,20.74,51.08,47.37
810,2,1,21.15,19.16,47.1,44.63
810,3,1,21.12,20.41,43.81,48.09
815,1,1,11.61,11.47,50.27,54.46
815,2,1,11.47,13.03,52.62,48.9
815,3,1,13.77,13.61,42.56,51.22
816,1,1,13.21,11.57,49.61,53.82
816,2,1,12.05,13.84,52.24,50.21
816,3,1,10.41,11.05,52.8,50.19
819,1,1,20.67,19.96,50.91,48.26
819,2,1,20.07,22.86,49.5,46.82
819,3,1,22.86,23.48,48.57,52.82
863,1,1,13.94,13.59,51.02,56.18
863,2,1,14.55,14.32,54.34,52.06
863,3,1,13.33,13.17,56.36,55.13
864,1,1,16.6,18.07,60.57,61.45
864,2,1,19.48,20.69,57.81,60.18
864,3,1,16.78,18.05,56.76,60.04
865,1,1,0,0,54.72,52.49
865,2,1,0,0,56.49,54.07
865,3,1,0,0,53.35,54.49
866,1,1,14.33,13.58,66.15,66.46
866,2,1,16.48,15.25,62.21,63.89
866,3,1,15.97,17.81,62.32,64.35
868,1,1,0,0,63.37,61.27
868,2,1,0,0,66.27,65.68
868,3,1,0,0,59.78,62.6
869,1,1,25.84,24.9,52.17,50.44
869,2,1,25.88,24.13,50.74,54.5
869,3,1,26.43,24.49,48.46,52.56
872,1,1,25.67,26.8,54.71,56.69
872,2,1,26.59,27.79,56.57,58.28
872,3,1,26.37,26.97,56.58,53.92
873,1,1,0,0,60.75,59.28
873,2,1,0,0,58,61.01
873,3,1,0,0,57.87,60.38
874,1,1,18.67,17.34,50.22,45.14
874,2,1,16.25,16.08,48.36,44.08
874,3,1,17.49,18.86,44.62,45.04
875,1,1,17.48,15.19,60.54,58.58
875,2,1,17.22,17.58,59.63,63.54
875,3,1,16.44,19.61,60.86,58.45
876,1,1,24.74,23.82,58,57.16
876,2,1,24.52,23.33,57.9,59.34
876,3,1,22.9,22.66,58.52,57.88
879,1,1,22.76,22.21,57.35,57.29
879,2,1,22.58,23.42,57.94,59.49
879,3,1,22.65,22.12,57.08,58.35
880,1,1,24.27,24.12,63.19,63.18
880,2,1,26.66,25.77,65,61.5
880,3,1,22.7,21.83,60.21,64.08
881,1,1,20.06,20.38,55.99,58.76
881,2,1,21.34,21.05,54.53,56.01
881,3,1,20.28,19.67,56.96,58.34
882,1,1,26,28.52,63.32,64.25
882,2,1,27.59,27.07,64.83,67.02
882,3,1,26.8,28.43,67.75,67.11
883,1,1,16.49,18.9,62.95,62.95
883,2,1,17.99,12.36,56.38,57.01
883,3,1,17.34,16.78,57.51,60.64
886,1,1,0,0,57.79,57.08
886,2,1,0,0,60.63,59.76
886,3,1,0,0,59.5,60.75
887,1,1,28.98,28.44,56.97,59.37
887,2,1,29.6,29.85,58.1,61.52
887,3,1,29.03,28.82,56.29,53.51
888,1,1,20.73,23.55,51.39,51.6
888,2,1,20.21,19.53,49.32,55.68
888,3,1,19.68,21.61,52.35,54.04
889,1,1,25.15,26.12,51.5,52.46
889,2,1,25.35,35.35,52.09,55.48
889,3,1,25.27,25.98,52.68,49.44
890,1,1,29.03,27.77,61.81,58.59
890,2,1,27.46,28.66,57.83,58.34
890,3,1,28.45,30.22,58.82,58.48
893,1,1,26.31,22.68,61.81,58.04
893,2,1,26.18,24.61,61.22,58.07
