ID,repeats,experimental_replicate,control.ecuatorial,control.polar,tetraconazole.ecuatorial,tetraconazole.polar
2490,3,1,6.432,6.347,2.74,2.404
2504,1,1,6.016,6.016,2.07,2.03
2504,2,1,5.8,6.035,2.327,2.232
2504,3,1,5.917,5.763,2.68,2.338
2505,1,1,5.713,5.62,2.356,2.18
2505,2,1,5.543,5.734,1.891,1.569
2505,3,1,5.676,5.846,2.064,1.947
2506,1,1,6.032,5.803,2.329,2.23
2506,2,1,5.238,5.423,2.421,2.451
2506,3,1,5.331,5.378,2.342,2.304
2507,1,1,5.846,5.828,2.191,2.067
2507,2,1,5.514,5.527,1.723,1.685
2507,3,1,5.601,5.601,1.775,1.569
2508,1,1,5.656,5.84,1.96,1.72
2508,2,1,5.645,5.645,2.23,1.894
2508,3,1,5.81,5.858,1.893,1.893
2509,1,1,5.945,6.063,2.001,1.864
2509,2,1,5.84,6.039,2.232,2.129
2509,3,1,5.358,5.618,2.188,2.374
2510,1,1,6.146,5.995,2.264,2.02
2510,2,1,6.266,6.167,2.322,2.277
2510,3,1,5.994,6.117,2.334,2.046
2511,1,1,5.522,5.863,2.149,2.141
2511,2,1,5.672,5.566,2.012,1.96
2511,3,1,5.566,5.521,2.137,2.12
2512,1,1,6.285,6.325,2.118,1.976
2512,2,1,5.934,5.94,2.851,2.543
2512,3,1,5.94,5.94,2.753,2.598
2513,1,1,5.834,6.056,2.286,2.366
2513,2,1,5.9,5.819,2.066,2.066
2513,3,1,5.699,5.61,2.307,2.261
2542,1,1,5.656,5.819,2.324,2.487
2542,2,1,5.413,5.618,2.569,2.563
2542,3,1,5.716,6.009,2.418,2.449
2545,1,1,5.704,5.441,2.513,2.481
2545,2,1,5.555,5.494,2.813,2.697
2545,3,1,5.575,5.575,2.594,2.505
2546,1,1,5.367,5.367,2.392,2.477
2546,2,1,5.334,5.334,2.497,2.714
2546,3,1,5.34,5.166,2.747,2.681
2547,1,1,5.425,5.313,2.392,2.477
2547,2,1,5.062,5.037,2.029,2.038
2547,3,1,5.32,5.173,2.734,2.576
2548,1,1,5.525,5.63,2.497,2.534
2548,2,1,5.18,5.18,2.534,2.577
2548,3,1,5.083,5.143,2.436,2.473
2550,1,1,5.047,5.109,2.641,2.555
2550,2,1,5.531,5.531,2.555,2.538
2550,3,1,5.298,5.257,2.142,2.129
2551,1,1,5.474,5.507,2.763,2.651
2551,2,1,,,2.615,2.57
2551,3,1,5.343,5.524,2.297,2.358
2552,1,1,6.514,6.423,2.449,2.241
2552,2,1,6.371,6.371,2.543,2.545
2552,3,1,6.4,6.563,2.75,2.388
2554,1,1,6.374,6.354,2.342,2.185
2554,2,1,6.151,6.318,2.187,2.187
2554,3,1,6.188,5.934,2.23,2.104
2557,1,1,6.459,6.67,2.445,2.385
2557,2,1,6.175,6.26,2.728,2.76
2557,3,1,6.212,6.134,2.822,2.701
461,1,2,5.506,5.647,2.164,2.39
461,2,2,5.704,5.745,2.318,2.516
461,3,2,5.709,5.74,2.383,2.209
1884,1,2,4.906,4.633,2.035,2.172
1884,2,2,5.026,4.914,2.095,2.261
1884,3,2,5.032,5.139,2.087,2.038
1887,1,2,6.098,5.928,2.421,2.302
1887,2,2,5.805,5.805,2.376,2.371
1887,3,2,5.928,5.963,2.37,2.304
1888,1,2,5.515,5.415,2.686,2.526
1888,2,2,5.722,5.698,2.471,2.673
1888,3,2,5.709,5.628,2.61,2.61
1889,1,2,5.166,5.365,1.878,1.878
1889,2,2,5.394,5.499,1.905,1.905
1889,3,2,5.245,5.134,1.846,1.927
1890,1,2,5.242,5.478,2.239,2.216
1890,2,2,5.302,4.843,2.282,2.33
1890,3,2,5.282,4.995,2.274,2.356
1891,1,2,5.574,5.788,2.412,2.337
1891,2,2,5.602,5.644,2.337,2.237
1891,3,2,5.401,5.795,2.386,2.4
1892,1,2,5.752,5.336,2.339,2.339
1892,2,2,5.249,5.277,2.594,2.594
1892,3,2,5.501,5.393,2.286,2.218
1893,1,2,5.297,5.093,1.857,1.857
1893,2,2,5.212,5.111,1.854,1.854
1893,3,2,5.326,5.416,1.854,1.792
1894,1,2,5.853,5.576,2.102,2.328
1894,2,2,5.858,5.916,2.23,2.284
1894,3,2,5.588,5.693,2.167,2.115
1895,1,2,5.165,5.157,1.584,1.517
1895,2,2,5.157,4.958,1.834,1.792
1895,3,2,5.031,4.858,1.615,1.544
1896,1,2,5.773,5.824,2.302,2.411
1896,2,2,5.563,5.731,2.561,2.425
1896,3,2,5.752,5.957,2.453,2.431
1898,1,2,5.582,5.417,1.763,1.834
1898,2,2,5.141,4.953,1.854,1.893
1898,3,2,5.144,4.968,1.806,1.909
1899,1,2,5.263,5.263,1.958,1.958
1899,2,2,4.981,4.769,1.957,1.889
1899,3,2,4.803,4.863,1.826,1.768
1901,1,2,5.651,5.462,2.041,2.041
1901,2,2,6.146,5.887,1.707,1.647
1901,3,2,5.759,5.521,1.955,2.067
1902,1,2,5.831,5.909,1.863,1.917
1902,2,2,5.821,5.578,1.972,1.855
1902,3,2,5.769,5.863,1.896,1.776
1903,1,2,5.503,5.59,1.972,1.875
1903,2,2,5.984,5.906,2.373,2.268
1903,3,2,5.586,5.588,2.069,2.069
1904,1,2,5.391,5.452,1.896,1.806
1904,2,2,5.582,5.582,1.782,1.633
1904,3,2,5.655,5.395,1.842,1.684
1905,1,2,5.472,5.676,2.652,2.516
1905,2,2,5.758,5.738,2.623,2.242
1905,3,2,5.707,5.784,2.447,2.744
1906,1,2,5.53,5.762,1.741,1.801
1906,2,2,5.322,5.496,1.77,1.387
1906,3,2,5.718,5.647,1.931,1.814
1907,1,2,5.674,5.424,1.703,1.604
1907,2,2,5.451,5.609,1.938,1.823
1907,3,2,5.573,5.398,1.616,1.583
1920,1,2,5.156,5.366,1.659,1.659
1920,2,2,5.275,5.571,1.659,1.659
1920,3,2,5.309,5.1,1.59,1.685
1921,1,2,5.855,5.619,2.353,1.959
1921,2,2,5.334,5.383,2.249,2.117
1921,3,2,5.519,5.285,2.267,2.087
1922,1,2,5.498,5.47,2.202,2.064
1922,2,2,5.39,5.4,2.132,2.23
1922,3,2,5.512,5.633,2.272,2.272
1923,1,2,5.305,5.38,1.397,1.185
1923,2,2,4.988,5.465,1.502,1.547
1923,3,2,5.465,5.637,1.667,1.275
1924,1,2,5.6,5.609,2.179,2.062
1924,2,2,5.623,5.427,2.41,2.354
1924,3,2,5.64,5.73,2.529,2.421
1926,1,2,5.288,5.415,1.815,1.66
1926,2,2,5.398,5.483,1.898,2.092
1926,3,2,5.559,5.602,1.89,1.519
1928,1,2,5.247,5.401,2.223,1.998
