ID,experimental_replicate,dose,ecuatorial,polar,,,,,,,
H-03,1,0.00,7.91,7.79,,,,,,,
H-03,1,0.00,7.59,7.53,,,,,,,
H-03,1,0.00,7.58,7.50,,,,,,,
H-03,1,0.00,8.03,7.97,,,,,,,
H-04,1,0.00,8.22,8.29,,,,,,,
H-04,1,0.00,7.59,7.71,,,,,,,
H-04,1,0.00,7.06,7.13,,,,,,,
H-04,1,0.00,7.36,7.36,,,,,,,
I-20,1,0.00,7.80,7.72,,,,,,,
I-20,1,0.00,7.42,7.50,,,,,,,
I-20,1,0.00,7.71,7.72,,,,,,,
I-20,1,0.00,7.61,7.73,,,,,,,
419,1,0.00,8.50,7.46,,,,,,,
419,1,0.00,7.71,7.42,,,,,,,
419,1,0.00,7.54,7.55,,,,,,,
419,1,0.00,8.07,8.23,,,,,,,
413,1,0.00,8.32,8.17,,,,,,,
413,1,0.00,8.20,8.27,,,,,,,
413,1,0.00,7.85,8.31,,,,,,,
413,1,0.00,7.98,8.08,,,,,,,
W212,1,0.00,8.50,8.50,,,,,,,
W212,1,0.00,8.50,8.50,,,,,,,
W212,1,0.00,8.50,8.50,,,,,,,
W212,1,0.00,8.20,8.25,,,,,,,
318,1,0.00,8.11,8.16,,,,,,,
318,1,0.00,8.10,7.88,,,,,,,
318,1,0.00,8.26,7.90,,,,,,,
318,1,0.00,8.16,8.06,,,,,,,
1025,1,0.00,7.58,7.65,,,,,,,
1025,1,0.00,7.78,7.68,,,,,,,
1025,1,0.00,8.12,7.64,,,,,,,
1025,1,0.00,8.50,8.50,,,,,,,
1026,1,0.00,8.50,8.50,,,,,,,
1026,1,0.00,8.50,8.50,,,,,,,
1026,1,0.00,8.50,8.50,,,,,,,
1026,1,0.00,8.50,8.50,,,,,,,
1027,1,0.00,7.73,8.37,,,,,,,
1027,1,0.00,8.30,8.23,,,,,,,
1027,1,0.00,8.04,7.77,,,,,,,
1027,1,0.00,7.76,7.84,,,,,,,
1029,1,0.00,8.05,7.91,,,,,,,
1029,1,0.00,7.97,7.90,,,,,,,
1029,1,0.00,7.96,8.27,,,,,,,
1029,1,0.00,7.66,7.63,,,,,,,
1032,1,0.00,8.11,8.50,,,,,,,
1032,1,0.00,7.91,8.20,,,,,,,
1032,1,0.00,7.87,7.80,,,,,,,
1032,1,0.00,8.07,8.14,,,,,,,
1033,1,0.00,7.65,7.59,,,,,,,
1033,1,0.00,7.83,7.89,,,,,,,
1033,1,0.00,7.66,7.48,,,,,,,
1033,1,0.00,8.14,7.92,,,,,,,
1,1,0.75,4.75,5.53,,,,,,,
1,1,0.75,4.91,4.50,,,,,,,
1,1,0.75,4.79,4.70,,,,,,,
1,1,0.75,4.77,5.76,,,,,,,
8,1,0.75,6.81,6.00,,,,,,,
8,1,0.75,6.06,5.21,,,,,,,
8,1,0.75,5.31,5.77,,,,,,,
8,1,0.75,5.78,6.05,,,,,,,
12B,1,0.75,5.17,5.06,,,,,,,
12B,1,0.75,4.12,4.84,,,,,,,
12B,1,0.75,6.41,6.79,,,,,,,
12B,1,0.75,6.61,5.97,,,,,,,
20,1,0.75,5.12,6.14,,,,,,,
20,1,0.75,4.26,4.90,,,,,,,
20,1,0.75,6.43,6.79,,,,,,,
20,1,0.75,6.59,7.02,,,,,,,
123,1,0.75,5.22,7.22,,,,,,,
123,1,0.75,5.18,5.69,,,,,,,
123,1,0.75,5.54,5.76,,,,,,,
123,1,0.75,5.11,5.50,,,,,,,
21,1,0.75,4.87,5.13,,,,,,,
21,1,0.75,4.83,4.82,,,,,,,
21,1,0.75,4.48,4.64,,,,,,,
21,1,0.75,5.09,6.45,,,,,,,
74SS1,1,0.75,5.16,5.72,,,,,,,
74SS1,1,0.75,5.38,5.16,,,,,,,
74SS1,1,0.75,5.99,6.16,,,,,,,
74SS1,1,0.75,6.59,6.28,,,,,,,
87,1,0.75,7.20,7.08,,,,,,,
87,1,0.75,6.45,5.70,,,,,,,
87,1,0.75,7.05,7.49,,,,,,,
87,1,0.75,6.75,6.54,,,,,,,
118,1,0.75,6.23,6.48,,,,,,,
118,1,0.75,5.49,5.64,,,,,,,
118,1,0.75,7.43,6.53,,,,,,,
118,1,0.75,7.02,6.42,,,,,,,
129,1,0.75,7.14,5.80,,,,,,,
129,1,0.75,6.27,5.85,,,,,,,
129,1,0.75,7.68,6.96,,,,,,,
129,1,0.75,7.27,6.58,,,,,,,
449,1,0.75,3.70,3.55,,,,,,,
449,1,0.75,3.87,4.40,,,,,,,
449,1,0.75,5.84,5.95,,,,,,,
449,1,0.75,6.80,6.44,,,,,,,
461,1,0.75,4.49,5.78,,,,,,,
461,1,0.75,4.43,4.48,,,,,,,
461,1,0.75,3.21,4.00,,,,,,,
461,1,0.75,4.40,4.35,,,,,,,
467,1,0.75,5.27,5.23,,,,,,,
467,1,0.75,5.10,4.64,,,,,,,
467,1,0.75,5.91,4.95,,,,,,,
467,1,0.75,4.98,4.98,,,,,,,
475,1,0.75,6.11,5.93,,,,,,,
475,1,0.75,5.17,5.12,,,,,,,
475,1,0.75,5.74,5.91,,,,,,,
475,1,0.75,6.46,5.89,,,,,,,
558,1,0.75,4.90,5.06,,,,,,,
558,1,0.75,4.09,3.81,,,,,,,
