ID,experimental_replicate,dose,ecuatorial,polar,,,,,,,,,,
475,1,0.01,2.23,2.36,,,,,,,,,,
475,1,0.01,0.00,0.00,,,,,,,,,,
558,1,0.01,4.79,4.97,,,,,,,,,,
558,1,0.01,4.51,4.69,,,,,,,,,,
558,1,0.01,4.93,4.71,,,,,,,,,,
558,1,0.01,4.62,4.17,,,,,,,,,,
564,1,0.01,4.46,4.78,,,,,,,,,,
564,1,0.01,4.59,4.58,,,,,,,,,,
564,1,0.01,4.57,4.58,,,,,,,,,,
564,1,0.01,3.66,4.33,,,,,,,,,,
568,1,0.01,4.51,4.45,,,,,,,,,,
568,1,0.01,4.47,4.36,,,,,,,,,,
568,1,0.01,4.26,4.46,,,,,,,,,,
568,1,0.01,3.74,3.84,,,,,,,,,,
581,1,0.01,5.25,4.97,,,,,,,,,,
581,1,0.01,4.36,4.50,,,,,,,,,,
581,1,0.01,4.73,4.68,,,,,,,,,,
581,1,0.01,4.26,4.58,,,,,,,,,,
645,1,0.01,3.82,4.06,,,,,,,,,,
645,1,0.01,4.01,3.93,,,,,,,,,,
645,1,0.01,3.99,3.71,,,,,,,,,,
645,1,0.01,3.36,3.13,,,,,,,,,,
667,1,0.01,4.63,4.55,,,,,,,,,,
667,1,0.01,4.34,4.20,,,,,,,,,,
667,1,0.01,4.43,4.72,,,,,,,,,,
667,1,0.01,3.17,3.41,,,,,,,,,,
800,1,0.01,4.69,4.49,,,,,,,,,,
800,1,0.01,4.41,4.43,,,,,,,,,,
800,1,0.01,4.40,4.32,,,,,,,,,,
800,1,0.01,3.15,3.50,,,,,,,,,,
62-02,1,0.01,4.32,4.26,,,,,,,,,,
62-02,1,0.01,5.06,4.94,,,,,,,,,,
62-02,1,0.01,3.72,4.05,,,,,,,,,,
62-02,1,0.01,3.68,3.92,,,,,,,,,,
62-03,1,0.01,4.47,4.46,,,,,,,,,,
62-03,1,0.01,3.97,4.02,,,,,,,,,,
62-03,1,0.01,4.15,3.94,,,,,,,,,,
62-03,1,0.01,3.43,3.41,,,,,,,,,,
62-04,1,0.01,4.71,4.74,,,,,,,,,,
62-04,1,0.01,4.67,4.67,,,,,,,,,,
62-04,1,0.01,4.80,4.61,,,,,,,,,,
62-04,1,0.01,4.10,4.05,,,,,,,,,,
78-01,1,0.01,3.90,4.04,,,,,,,,,,
78-01,1,0.01,4.25,4.29,,,,,,,,,,
78-01,1,0.01,3.59,3.81,,,,,,,,,,
78-01,1,0.01,3.44,3.59,,,,,,,,,,
78-02,1,0.01,4.19,4.22,,,,,,,,,,
78-02,1,0.01,3.84,3.28,,,,,,,,,,
78-02,1,0.01,4.25,4.29,,,,,,,,,,
78-02,1,0.01,1.32,1.37,,,,,,,,,,
78-05,1,0.01,3.96,3.83,,,,,,,,,,
78-05,1,0.01,2.54,2.42,,,,,,,,,,
78-05,1,0.01,3.82,3.72,,,,,,,,,,
78-05,1,0.01,2.83,2.65,,,,,,,,,,
S-01,1,0.01,4.40,4.55,,,,,,,,,,
S-01,1,0.01,4.46,4.39,,,,,,,,,,
S-01,1,0.01,4.40,4.37,,,,,,,,,,
S-01,1,0.01,1.80,1.71,,,,,,,,,,
H-01,1,0.01,3.01,2.85,,,,,,,,,,
H-01,1,0.01,3.57,3.59,,,,,,,,,,
H-01,1,0.01,3.15,3.41,,,,,,,,,,
H-01,1,0.01,3.16,3.47,,,,,,,,,,
H-03,1,0.01,3.82,3.88,,,,,,,,,,
H-03,1,0.01,3.95,4.02,,,,,,,,,,
H-03,1,0.01,4.27,4.36,,,,,,,,,,
H-03,1,0.01,3.03,3.05,,,,,,,,,,
H-04,1,0.01,3.98,3.26,,,,,,,,,,
H-04,1,0.01,3.88,3.98,,,,,,,,,,
H-04,1,0.01,4.19,4.25,,,,,,,,,,
H-04,1,0.01,3.74,3.66,,,,,,,,,,
I-20,1,0.01,4.48,4.63,,,,,,,,,,
I-20,1,0.01,3.83,3.74,,,,,,,,,,
I-20,1,0.01,5.08,4.86,,,,,,,,,,
I-20,1,0.01,4.07,4.17,,,,,,,,,,
419,1,0.01,4.41,4.18,,,,,,,,,,
419,1,0.01,3.83,3.91,,,,,,,,,,
419,1,0.01,3.76,3.81,,,,,,,,,,
419,1,0.01,2.45,2.41,,,,,,,,,,
413,1,0.01,4.71,4.57,,,,,,,,,,
413,1,0.01,4.81,4.85,,,,,,,,,,
413,1,0.01,4.52,4.63,,,,,,,,,,
413,1,0.01,4.12,4.32,,,,,,,,,,
W212,1,0.01,4.10,4.51,,,,,,,,,,
W212,1,0.01,4.48,4.89,,,,,,,,,,
W212,1,0.01,4.27,4.83,,,,,,,,,,
W212,1,0.01,3.33,3.80,,,,,,,,,,
318,1,0.01,4.34,4.44,,,,,,,,,,
318,1,0.01,4.27,4.37,,,,,,,,,,
318,1,0.01,4.57,4.68,,,,,,,,,,
318,1,0.01,3.76,3.80,,,,,,,,,,
1025,1,0.01,4.35,4.32,,,,,,,,,,
1025,1,0.01,4.20,3.95,,,,,,,,,,
1025,1,0.01,4.10,4.10,,,,,,,,,,
1025,1,0.01,1.47,1.20,,,,,,,,,,
1026,1,0.01,,,,,,,,,,,,
1026,1,0.01,4.14,4.24,,,,,,,,,,
1026,1,0.01,4.19,3.98,,,,,,,,,,
1026,1,0.01,3.61,3.49,,,,,,,,,,
1027,1,0.01,3.38,3.38,,,,,,,,,,
1027,1,0.01,3.74,3.69,,,,,,,,,,
1027,1,0.01,4.00,3.42,,,,,,,,,,
1027,1,0.01,1.37,1.21,,,,,,,,,,
1029,1,0.01,4.29,4.51,,,,,,,,,,
1029,1,0.01,3.64,3.77,,,,,,,,,,
1029,1,0.01,2.58,2.97,,,,,,,,,,
1029,1,0.01,2.71,2.41,,,,,,,,,,
1032,1,0.01,4.18,3.97,,,,,,,,,,
1032,1,0.01,3.91,3.88,,,,,,,,,,
1032,1,0.01,3.77,3.84,,,,,,,,,,
1032,1,0.01,2.90,2.77,,,,,,,,,,
1033,1,0.01,4.07,4.13,,,,,,,,,,
1033,1,0.01,4.51,4.25,,,,,,,,,,
1033,1,0.01,4.49,4.39,,,,,,,,,,
1033,1,0.01,3.24,3.13,,,,,,,,,,
1,1,0.02,0.00,0.00,,,,,,,,,,
1,1,0.02,3.28,3.55,,,,,,,,,,
1,1,0.02,2.74,2.85,,,,,,,,,,
1,1,0.02,3.29,3.07,,,,,,,,,,
8,1,0.02,2.10,2.04,,,,,,,,,,
8,1,0.02,3.84,3.02,,,,,,,,,,
8,1,0.02,2.76,2.80,,,,,,,,,,
8,1,0.02,3.02,2.68,,,,,,,,,,
12B,1,0.02,3.34,2.89,,,,,,,,,,
12B,1,0.02,2.47,2.86,,,,,,,,,,
12B,1,0.02,3.34,3.55,,,,,,,,,,
12B,1,0.02,2.31,2.59,,,,,,,,,,
20,1,0.02,2.84,2.84,,,,,,,,,,
20,1,0.02,3.16,3.47,,,,,,,,,,
20,1,0.02,2.45,2.94,,,,,,,,,,
20,1,0.02,3.29,3.10,,,,,,,,,,
123,1,0.02,1.64,1.54,,,,,,,,,,
123,1,0.02,2.77,2.50,,,,,,,,,,
123,1,0.02,1.04,0.92,,,,,,,,,,
123,1,0.02,2.96,3.25,,,,,,,,,,
21,1,0.02,2.05,2.03,,,,,,,,,,
21,1,0.02,2.11,2.16,,,,,,,,,,
21,1,0.02,2.64,2.67,,,,,,,,,,
21,1,0.02,0.05,0.05,,,,,,,,,,
74SS1,1,0.02,0.91,1.11,,,,,,,,,,
74SS1,1,0.02,3.12,3.02,,,,,,,,,,
74SS1,1,0.02,3.47,3.39,,,,,,,,,,
74SS1,1,0.02,1.73,1.75,,,,,,,,,,
87,1,0.02,2.82,3.14,,,,,,,,,,
87,1,0.02,3.23,2.94,,,,,,,,,,
87,1,0.02,1.44,1.66,,,,,,,,,,
87,1,0.02,3.00,3.14,,,,,,,,,,
118,1,0.02,2.61,2.72,,,,,,,,,,
118,1,0.02,3.27,2.71,,,,,,,,,,
118,1,0.02,1.52,1.52,,,,,,,,,,
118,1,0.02,2.96,3.01,,,,,,,,,,
129,1,0.02,2.11,2.14,,,,,,,,,,
129,1,0.02,2.70,2.77,,,,,,,,,,
129,1,0.02,1.96,1.82,,,,,,,,,,
129,1,0.02,2.21,1.90,,,,,,,,,,
449,1,0.02,1.84,1.73,,,,,,,,,,
449,1,0.02,2.74,2.51,,,,,,,,,,
449,1,0.02,0.00,0.00,,,,,,,,,,
449,1,0.02,0.85,1.11,,,,,,,,,,
461,1,0.02,0.63,0.74,,,,,,,,,,
461,1,0.02,2.86,2.80,,,,,,,,,,
461,1,0.02,1.56,1.46,,,,,,,,,,
461,1,0.02,0.00,0.00,,,,,,,,,,
467,1,0.02,0.00,0.00,,,,,,,,,,
467,1,0.02,1.69,2.09,,,,,,,,,,
467,1,0.02,1.19,2.01,,,,,,,,,,
467,1,0.02,0.00,0.00,,,,,,,,,,
475,1,0.02,1.39,1.32,,,,,,,,,,
475,1,0.02,0.00,0.00,,,,,,,,,,
475,1,0.02,2.19,1.84,,,,,,,,,,
475,1,0.02,1.54,1.71,,,,,,,,,,
558,1,0.02,3.31,3.36,,,,,,,,,,
558,1,0.02,3.52,3.70,,,,,,,,,,
558,1,0.02,3.78,3.84,,,,,,,,,,
558,1,0.02,3.75,3.63,,,,,,,,,,
564,1,0.02,1.08,1.57,,,,,,,,,,
564,1,0.02,2.49,2.68,,,,,,,,,,
564,1,0.02,1.87,1.69,,,,,,,,,,
564,1,0.02,2.08,1.58,,,,,,,,,,
568,1,0.02,3.16,3.21,,,,,,,,,,
568,1,0.02,3.52,3.44,,,,,,,,,,
568,1,0.02,3.67,3.62,,,,,,,,,,
568,1,0.02,3.43,3.05,,,,,,,,,,
581,1,0.02,3.46,3.67,,,,,,,,,,
581,1,0.02,2.62,2.41,,,,,,,,,,
581,1,0.02,4.04,4.02,,,,,,,,,,
581,1,0.02,3.77,3.81,,,,,,,,,,
645,1,0.02,1.00,1.26,,,,,,,,,,
645,1,0.02,2.35,2.46,,,,,,,,,,
645,1,0.02,3.46,3.23,,,,,,,,,,
645,1,0.02,2.61,2.48,,,,,,,,,,
667,1,0.02,1.81,1.98,,,,,,,,,,
667,1,0.02,3.08,3.18,,,,,,,,,,
667,1,0.02,3.32,3.28,,,,,,,,,,
667,1,0.02,1.44,1.57,,,,,,,,,,
800,1,0.02,2.31,2.30,,,,,,,,,,
800,1,0.02,2.59,2.91,,,,,,,,,,
800,1,0.02,2.60,2.66,,,,,,,,,,
800,1,0.02,2.59,2.53,,,,,,,,,,
62-02,1,0.02,3.31,3.31,,,,,,,,,,
62-02,1,0.02,3.36,3.50,,,,,,,,,,
62-02,1,0.02,3.51,3.64,,,,,,,,,,
62-02,1,0.02,3.05,3.01,,,,,,,,,,
62-03,1,0.02,0.00,0.00,,,,,,,,,,
62-03,1,0.02,,,,,,,,,,,,
62-03,1,0.02,0.00,0.00,,,,,,,,,,
62-03,1,0.02,2.87,2.70,,,,,,,,,,
62-04,1,0.02,3.61,3.67,,,,,,,,,,
62-04,1,0.02,3.32,3.20,,,,,,,,,,
62-04,1,0.02,3.40,3.41,,,,,,,,,,
62-04,1,0.02,3.45,3.30,,,,,,,,,,
78-01,1,0.02,2.54,2.66,,,,,,,,,,
78-01,1,0.02,2.92,3.26,,,,,,,,,,
78-01,1,0.02,3.25,3.10,,,,,,,,,,
78-01,1,0.02,2.46,2.47,,,,,,,,,,
78-02,1,0.02,2.44,2.25,,,,,,,,,,
78-02,1,0.02,0.00,0.00,,,,,,,,,,
78-02,1,0.02,3.35,3.51,,,,,,,,,,
78-02,1,0.02,2.40,2.15,,,,,,,,,,
78-05,1,0.02,2.04,1.87,,,,,,,,,,
78-05,1,0.02,2.38,2.28,,,,,,,,,,
78-05,1,0.02,3.20,3.10,,,,,,,,,,
78-05,1,0.02,1.86,2.08,,,,,,,,,,
S-01,1,0.02,2.55,2.39,,,,,,,,,,
S-01,1,0.02,3.49,3.21,,,,,,,,,,
S-01,1,0.02,3.27,3.80,,,,,,,,,,
S-01,1,0.02,2.39,2.18,,,,,,,,,,
H-01,1,0.02,2.82,2.76,,,,,,,,,,
H-01,1,0.02,2.52,2.45,,,,,,,,,,
H-01,1,0.02,1.62,1.89,,,,,,,,,,
H-01,1,0.02,0.00,0.00,,,,,,,,,,
H-03,1,0.02,2.81,2.76,,,,,,,,,,
H-03,1,0.02,2.25,2.13,,,,,,,,,,
H-03,1,0.02,2.56,2.58,,,,,,,,,,
H-03,1,0.02,2.10,2.20,,,,,,,,,,
H-04,1,0.02,1.88,1.94,,,,,,,,,,
H-04,1,0.02,2.67,2.81,,,,,,,,,,
H-04,1,0.02,2.83,2.98,,,,,,,,,,
H-04,1,0.02,2.74,2.81,,,,,,,,,,
I-20,1,0.02,1.54,1.74,,,,,,,,,,
I-20,1,0.02,0.61,0.60,,,,,,,,,,
I-20,1,0.02,2.68,2.64,,,,,,,,,,
I-20,1,0.02,2.95,2.93,,,,,,,,,,
419,1,0.02,2.00,1.98,,,,,,,,,,
419,1,0.02,1.56,1.34,,,,,,,,,,
419,1,0.02,2.75,2.85,,,,,,,,,,
419,1,0.02,2.87,2.86,,,,,,,,,,
413,1,0.02,2.69,2.41,,,,,,,,,,
413,1,0.02,3.79,3.57,,,,,,,,,,
413,1,0.02,3.77,3.97,,,,,,,,,,
413,1,0.02,3.38,3.23,,,,,,,,,,
W212,1,0.02,2.76,2.94,,,,,,,,,,
W212,1,0.02,3.56,3.63,,,,,,,,,,
W212,1,0.02,3.65,3.51,,,,,,,,,,
W212,1,0.02,2.95,2.94,,,,,,,,,,
318,1,0.02,2.64,2.63,,,,,,,,,,
318,1,0.02,3.37,3.40,,,,,,,,,,
318,1,0.02,3.87,4.05,,,,,,,,,,
318,1,0.02,3.15,3.07,,,,,,,,,,
1025,1,0.02,2.35,2.24,,,,,,,,,,
1025,1,0.02,1.16,1.11,,,,,,,,,,
1025,1,0.02,3.55,3.54,,,,,,,,,,
1025,1,0.02,1.66,1.38,,,,,,,,,,
1026,1,0.02,2.42,2.45,,,,,,,,,,
1026,1,0.02,2.37,2.46,,,,,,,,,,
1026,1,0.02,3.24,3.01,,,,,,,,,,
1026,1,0.02,3.04,2.78,,,,,,,,,,
1027,1,0.02,0.00,0.00,,,,,,,,,,
1027,1,0.02,0.00,0.00,,,,,,,,,,
1027,1,0.02,1.85,2.08,,,,,,,,,,
1027,1,0.02,0.00,0.00,,,,,,,,,,
1029,1,0.02,1.36,1.31,,,,,,,,,,
1029,1,0.02,1.45,1.54,,,,,,,,,,
1029,1,0.02,2.92,2.96,,,,,,,,,,
1029,1,0.02,0.99,1.05,,,,,,,,,,
1032,1,0.02,1.29,0.52,,,,,,,,,,
1032,1,0.02,0.62,0.77,,,,,,,,,,
1032,1,0.02,0.00,0.00,,,,,,,,,,
1032,1,0.02,0.00,0.00,,,,,,,,,,
1033,1,0.02,2.56,2.11,,,,,,,,,,
1033,1,0.02,2.71,2.66,,,,,,,,,,
1033,1,0.02,3.15,3.23,,,,,,,,,,
1033,1,0.02,1.81,1.97,,,,,,,,,,
1,1,0.04,0.00,0.00,,,,,,,,,,
1,1,0.04,0.00,0.00,,,,,,,,,,
1,1,0.04,1.85,1.74,,,,,,,,,,
1,1,0.04,1.76,1.79,,,,,,,,,,
8,1,0.04,1.78,1.93,,,,,,,,,,
8,1,0.04,1.98,2.12,,,,,,,,,,
8,1,0.04,1.53,1.73,,,,,,,,,,
8,1,0.04,1.42,1.22,,,,,,,,,,
12B,1,0.04,1.70,1.81,,,,,,,,,,
12B,1,0.04,2.21,1.93,,,,,,,,,,
12B,1,0.04,1.52,1.73,,,,,,,,,,
12B,1,0.04,1.87,1.82,,,,,,,,,,
20,1,0.04,1.60,1.68,,,,,,,,,,
20,1,0.04,1.75,1.93,,,,,,,,,,
20,1,0.04,1.44,1.61,,,,,,,,,,
