ID,experimental_replicate,dose,response
H-04,2,1,3.775
H-04,2,1,4.135
H-04,2,1,3.78
I-20,2,1,4.42
I-20,2,1,4.19
I-20,2,1,4.535
I-20,2,1,4.16
419,2,1,4.685
419,2,1,4.14
419,2,1,4.395
419,2,1,3.99
413,2,1,4.47
413,2,1,3.875
413,2,1,4.205
413,2,1,3.87
W212,2,1,4.52
W212,2,1,4.03
W212,2,1,4.285
W212,2,1,4.03
318,2,1,4.185
318,2,1,3.85
318,2,1,4.205
318,2,1,3.37
1025,2,1,4.255
1025,2,1,3.745
1025,2,1,4.17
1025,2,1,3.92
1026,2,1,4.325
1026,2,1,3.825
1026,2,1,4.13
1026,2,1,4.01
1027,2,1,4.22
1027,2,1,3.76
1027,2,1,4
1027,2,1,3.87
1029,2,1,4.55
1029,2,1,3.79
1029,2,1,4.145
1029,2,1,3.945
1032,2,1,2.775
1032,2,1,2.84
1032,2,1,2.45
1032,2,1,2.375
1033,2,1,4.425
1033,2,1,4.15
1033,2,1,4.235
1033,2,1,3.945
1,2,2,3.285
1,2,2,3.05
1,2,2,3.195
1,2,2,2.81
8,2,2,3.57
8,2,2,2.91
8,2,2,2.935
8,2,2,3.11
12B,2,2,3.055
12B,2,2,3.105
12B,2,2,3.145
12B,2,2,2.8
20,2,2,3.42
20,2,2,3.095
20,2,2,3.16
20,2,2,3.085
123,2,2,3.245
123,2,2,3.05
123,2,2,3
123,2,2,3.05
21,2,2,1.27
21,2,2,0.975
21,2,2,0.895
21,2,2,0.855
74SS1,2,2,3.535
74SS1,2,2,3.135
74SS1,2,2,3.065
74SS1,2,2,3.125
87,2,2,3.425
87,2,2,3.05
87,2,2,3.135
87,2,2,3.03
118,2,2,3.39
118,2,2,3.085
118,2,2,2.965
118,2,2,3.12
129,2,2,3.325
129,2,2,2.7
129,2,2,3.01
129,2,2,2.77
449,2,2,3.255
449,2,2,2.765
449,2,2,2.615
449,2,2,2.525
461,2,2,2.53
461,2,2,2.445
461,2,2,2.43
461,2,2,2.545
467,2,2,1.225
467,2,2,1.05
467,2,2,1.02
467,2,2,0.9
475,2,2,3.225
475,2,2,2.935
475,2,2,2.84
475,2,2,2.53
558,2,2,0.73
558,2,2,0.665
558,2,2,0.64
558,2,2,0.745
564,2,2,3.285
564,2,2,3.025
564,2,2,2.8
564,2,2,2.66
568,2,2,3.355
568,2,2,3.095
568,2,2,3.025
568,2,2,3.1
581,2,2,3.19
581,2,2,2.88
581,2,2,2.885
581,2,2,2.86
645,2,2,2.98
645,2,2,2.97
645,2,2,2.8
645,2,2,2.7
667,2,2,0.3
667,2,2,0.3
667,2,2,0.2
667,2,2,0.3
800,2,2,3.45
800,2,2,2.945
800,2,2,2.92
800,2,2,2.765
62-02,2,2,2.72
62-02,2,2,2.645
62-02,2,2,2.435
62-02,2,2,2.51
62-03,2,2,3.01
62-03,2,2,2.635
62-03,2,2,2.705
62-03,2,2,2.9
62-04,2,2,3.08
62-04,2,2,2.255
62-04,2,2,2.72
62-04,2,2,2.765
78-01,2,2,3.18
78-01,2,2,2.92
78-01,2,2,2.86
78-01,2,2,2.83
78-02,2,2,3.31
78-02,2,2,3.065
78-02,2,2,3.205
78-02,2,2,2.83
78-05,2,2,3.06
78-05,2,2,2.845
78-05,2,2,3.075
78-05,2,2,2.785
S-01,2,2,3.225
S-01,2,2,2.8
S-01,2,2,2.86
S-01,2,2,2.605
H-01,2,2,3
H-01,2,2,2.77
H-01,2,2,2.775
H-01,2,2,2.8
H-03,2,2,2.825
H-03,2,2,2.89
H-03,2,2,2.725
H-03,2,2,2.74
H-04,2,2,3.245
H-04,2,2,2.83
H-04,2,2,2.76
H-04,2,2,2.665
I-20,2,2,3.5
I-20,2,2,3.195
I-20,2,2,3.36
I-20,2,2,3.085
419,2,2,3.47
419,2,2,3.04
419,2,2,2.945
419,2,2,2.7
413,2,2,3.355
413,2,2,2.925
413,2,2,2.73
413,2,2,2.685
W212,2,2,3.27
W212,2,2,3.075
W212,2,2,2.97
W212,2,2,2.77
318,2,2,3.025
318,2,2,2.795
318,2,2,2.705
318,2,2,2.6
1025,2,2,2.945
1025,2,2,2.805
1025,2,2,2.595
1025,2,2,2.675
1026,2,2,3.2
1026,2,2,2.865
1026,2,2,2.75
1026,2,2,2.69
1027,2,2,2.93
1027,2,2,2.815
1027,2,2,2.665
1027,2,2,2.59
1029,2,2,3.34
1029,2,2,2.89
1029,2,2,2.875
1029,2,2,2.605
1032,2,2,1.75
1032,2,2,1.125
1032,2,2,1.255
1032,2,2,0.98
1033,2,2,3.445
1033,2,2,2.94
1033,2,2,2.95
1033,2,2,2.66
